questions,responses
What is the role of NavIC in the Indian telecom industry?,The first NavIC enabled smartphone is expected to be released during the first quarter of 2020 NavIC in GPP To encourage more chip manufacturers and mobile OEMs to support NavIC ISRO has taken up activities to include NavIC based assisted navigation support in Indian telecom standards through TSDSI and international telecom standards through 3rd GPP GPP.
What is gsat16?,GSAT16 is a communication satellite configured around an I3K Extended bus with a liftoff mass of 3150 kg with a mission life of more than 12 years.
Who is the primary user of the fire alert system?,FSI DehraDun FSI is the primary user of the fire alert system dissemination in near real time by email.
What is the role of the DECU?,"DECU is involved in conceptualising, designing, implementing, evaluating invigorating, sustaining and upgrading SATCOM based societal applications along with producing video programmes incorporating multimedia elements as a medium of interaction and conducting social science and communication research studies for national development."
What is the primary responsibility of the DS?,DOS has the primary responsibility of promoting the development of space science technology and applications towards achieving self-reliance and facilitating the all round development of the nation.
What is the role of NavIC in mobile?,"Inclusion of NavIC assisted navigation support in 4G networks was taken up as a work item in GPP and it is expected to be incorporated into standards by end of 2020 Which is a significant step towards the proliferation of NavIC ,With the satellite constellation established NavIC system is now fully available for position navigation and timing solution and for derived location based services ,With the satellite constellation established NavIC system is now fully available for position navigation and timing solution ,The same chip manufacturer has also recently introduced NavIC enabled processors for always connected PCs 5G enabled."
What is gsat15?,GSAT15 is a communication satellite configured around the I3K bus and it is designed for a mission life of more than 12 years.
What is the orbital slot of INSAT 3D?,INSAT 3D an advanced weather satellite was launched on July 26 2013 and positioned at the orbital slot of 82 degrees East longitude in the geostationary orbit.
What is the Imaging Infrared Spectrometer?,The Imaging Infrared Spectrometer IIRS measures the surface reflectance in the 0.
What is the role of URSC?,"URSC is fully equipped with the stateoftheart facilities for fabrication and testing of mechanical and electronic hardware subsystems and integrated satellite ,URSC is actively involved in RD in the area of advanced stateoftheart technologies total management of all satellite missions creation of a vibrant space industry for the realisation of space systems technology transfer academia interface etc ,URSC is the lead centre for design development and integration of satellites for communication remote sensing navigation scientific studies and small satellites."
What are the main GNSS service providers?,GPS GLONASS BEIDOU GALILEO QZSS and NavIC member states and organisations involved in GNSS across the globe.
When was the Chandrayaan2 mission launched?,The Chandrayaan2 mission was successfully launched on July 22 2019.
What is the purpose of the NavIC messaging service?,The NavIC messaging service along with support from INCOIS NavIC messaging receivers NMR were developed Which transmit alerts messages such as cyclone high wave etc.
What is the current status of INSAT 3D?,INSAT3D Meteorological Data Processing System IMDPS was dedicated to the nation by the Hon'ble Minister of Science and Technology MoES on 15 January 2014.
What is the IRNSS network?,The IRNSS Data Communication Network IRDCN is operational with redundant communication links Terrestrial VSAT between all the ground elements.
What is gsat14?,GSAT14 spacecraft provides Extended Cband and Kuband communication transponder capacity.
When was EMISAT launched?,EMISAT was successfully launched on-board PSLVC45 on April 1 2019.
What is the most popular NavIC receiver?,NavIC Messaging Receiver.
What is the purpose of the Smart sampling technique?,Under the crop insurance project of Odisha state Smart sampling technique developed by NRSC ISRO was implemented successfully for paddy crop in the Kharif season of 2018 and continued in the rabi season during April 2019.
What is the purpose of the GSLV MkIII?,GSLV Mk III is configured as a three stage vehicle with two solid strapon motors S200 one liquid core stage L110 and a high thrust cryogenic upper stage C25.
What is the role of satellites in weather forecasting?,In fact the improvement in weather forecasting is mainly attributed to the increasing use of satellite data.
Who was the architect of the ISAC?,U R Rao Who was the architect of Satellite Centre.
What is the objective of the RLV?,The objective of RLV is to demonstrate technologies for developing a wingbody vehicle similar to that of an aircraft.
What is gsat18?,GSAT18 is a communication satellite configured around an I3K extended bus and it carries Ku Normal C and Extended C band transponders.
What is the mission of the IIST?,IIST Asia's first Space University was established at Thiruvananthapuram in 2007 with the objective of offering high quality education in space science and technology to meet the demands of Indian Space Programme.
What are the major changes in the GSLV MkIII?,The major changes in GSLV Mk III M1 include C25 stage burn to depletion induction of High Thrust Vikas Engine for L110 and tuning of vehicle aerodynamic drag HU Rated GSLV MkIII Gaganyaan Programme The design aspects are being reviewed including HU rating requirements safety margins additional test and qualification requirements redundancy aspects fault detection and isolation schemes and LVHM system.
What is gsat12?,GSAT12 satellite is configured around 1000 Kg class I1K bus with extended Cband transponders.
What is the role of satellites in the analysis of crop insurance?,These clusters have been adopted by Maharashtra for insurance rate making in Kharif 2019 thus setting a model for technology utilisation in the pricing segment of crop insurance value chain.
?What are the uses of NavIC enabled GNSS receivers?,NavIC enabled GNSS receivers are used in many scientific applications; the following are a few examples.
What is the main objective of the DS?,With this basic objective DOS has evolved the following programmes INSAT programme for telecommunication TV broadcasting meteorology developmental education societal applications such as telemedicine tele education teleadvisories and similar such services IRS satellite programme for the management of natural resources and various developmental projects across the country using space based imagery Indigenous capability for the design and development of satellite and associated technologies for communications navigation remote sensing and space sciences Design and development of launch vehicles for access to space and orbiting INSAT GSAT IRS and IRNSS satellites and space science missions The DOS is committed to Research and development in space sciences and technologies as well as application programmes for national development Carrying out RD in satellite and launch vehicle technology with a goal to achieve total self reliance Provide national space infrastructure for telecommunications and broadcasting needs of the country Provide satellite services required for weather forecasting monitoring etc.
What is the role of the MCF?,MCF interacts with User Agencies for effective utilisation of the satellite payloads and to minimise the service disturbances during special operations.
What is the primary mission goal of the INSAT3S?,The primary mission goals are for Global coverage of the earth's biomass cryosphere for surface dynamics and coastal studies over a period of 35 years Systematic coverage of global environment with 12 days repeat the cycle Interferometry with precision orbit pointing control.
What is the main objective of the SVAB?,The main objectives of the SVAB are a to meet increased launch frequency b to provide a full fledged integration facility for GSLVMkIII flights c to take care of future launch vehicles d to implement Auxiliary Umbilical Tower concept to reduce launchpad occupancy time and e to serve as a prime integration facility for future Third LaunchPad.
Where is the new facility located for SAC?,In addition SAC has operationalised Payload Assembly Integration and Testing facility at its new campus at Bopal Ahmedabad.
What is the purpose of the RLV?,"The RLV will glide, navigate towards the runway and land autonomously with the landing gear in an airfield near Chitradurga in Karnataka."
What type of bus is used for IRNSS?,I1K Bus.
What is the role of satellites in telecommunications?,INSATGSAT satellites have been supporting telecommunication applications for providing voice and data communications.
What is the purpose of RISAT2BR2?,RISAT2BR2 is a high agility XBand SAR Based satellite.
What is the primary mission of NSIL?,NSIL the commercial arm of ISRO has the primary mandate of enabling Indian Industries to scale up high technology manufacturing and production base for the Indian space programme.
What is Chandra's Atmospheric Composition Explorer2 CHACE2?,Chandras Atmospheric Composition Explorer2 CHACE2 is a mass spectrometer Which measures neutral species in the tenuous exosphere of the Moon.
What is the purpose of NavIC?,To support the small form factor NavIC enabled GNSS receiver chips are a mandatory requirement
What is the purpose of NavIC in LAUNCH VEHICLES?,NavIC based trajectory tracking has already become the standard practice for all PSLV and GSLV Mk III missions.
What is the name of the satellite system developed by ISRO?,NavIC is the IRNSS developed by ISRO ISRO.
What is the mission of Resourcesat2?,Both OCM and ROS payloads are still providing data services Resourcesat2 a follow on mission to Resourcesat1 provides data continuity to Indian and global user community.
What is the purpose of the GSAT30?,GSAT30 is configured with 12 Normal Cband and 12 Kuband transponders.
What outreach activities have ISRO initiated for propagating NavIC?,NavICGAGAN Utilization Programme.
What is the launch date of the CARTOSAT3?,CARTOSAT3 was successfully launched on-board PSLVC47 on November 27 2019.
What are the main applications of NavIC signals?,Studies into using NavIC signals for detecting ocean current and wind speeds rip current detection soil moisture detection etc.
What is the national level coordination committee for space systems?,INSAT Coordination Committee.
When is the Indian astronaut program planned to return to the earth?,the year 2022.
What year is the gsat8 launched?,05-01-2011.
What is the role of MCF?,MCF activities include round the clock TTC operations and special operations like Eclipse management Stationkeeping manoeuvres and recovery actions in case of contingencies.
What is the purpose of the HSFC?,HSFC is entrusted to implement the Gaganyaan programme and to act as the lead centre for the sustained and affordable HU spaceflight activities to extend the HU presence across the solar system starting with HU space flight missions to LEO.
What is the purpose of the APEX Science Board?,The APEX Science Board ASB was constituted to review and recommend steps for the cutting edge research projects on various fields related to space science.
What is the role of satellites in telemedicine?,Satellite Communication based Telemedicine is one of the unique applications of space technology that is being utilised for the benefit of society at large.
What is the role of the DSR Quality?,"The DSR Quality DSRQ is an apex body at ISRO Headquarters closely interacting with CentresUnits developing the quality and reliability policy aspects of space and launch systems ,The Directorate reviewed the quality practices at most of the ISRO CentresUnits towards the identification of systemic quality issues in the functioning."
What is the role of ISRO in the development of the Indian space industry?,The department is in the process of enacting legislation to support the overall growth of the space activities in India with a higher order of participation of various agencies including public nongovernmental private sector stakeholders in compliance with the obligations under international treaties on space activities.
What is the role of RACS?,RACS aims to pursue advanced research in the areas of relevance to the future technological and programmatic needs of the Indian Space Programme and act as a facilitator for the promotion of space technology activities among students in the region.
What is the role of RACS in the region?,"RACS will also facilitate and engage other institutes of excellence in the region to take part in the capacity building, awareness creation and research development activities."
What is the purpose of the Centralised Induction Training Programme?,"With regard to induction training programmes for another category of manpower specific modules are designed and training is imparted at respective Centres ,The scheme of Centralised Induction Training Programme for newly joined scientist engineers introduced during 2002 is being continued."
What is the role of the ISRO DSR Quality?,The major thrust areas of the Directorate include implementation of the AQP pooling the wisdom of all ISRO employees as a participative venture review of quality practices at various ISRO CentresUnits and implementation of uniform practices wherever applicable contributions towards ISRO projects in ensuring the proper closure of nonconformances generation of ISRO Technical Standards ITecS in all areas of activities sharing of best practices among ISRO Centres quality outreach etc.
What are the existing facilities of the ISRO?,"The existing welfare measures such as housing, medical canteen schooling for children etc."
What is the primary objective of the Occupational Health and Safety management system?,The primary objective of the Occupational Health and Safety management system is to control the hazards at the system level by eliminating failure modes.
What is the purpose of the Centralised Induction Programme?,TD activities are envisaged through both Centralised and Decentralised systems.
What is the main objective of RESPOND?,"The major activity under RESPOND is to provide support to research projects in the wide range of topics in space technology, space science and space application areas to universities institutions."
What is the role of DSR in the upcoming Gaganyaan mission?,DSRQ has been closely involved in the follow up of the Non Conformances changes and pending actions identified by major review towards ensuring the quality and reliability of launch vehicles.
What is the purpose of the AQP?,Focus on operational missions and involvement of not just Q teams but each and every individual of ISRO sets AQP apart as an innovative initiative.
What are the only countries with public or commercial HU spaceflight programs?,"To date Russia, the US and China are the only countries with public or commercial HU spaceflight capable programs."
How many countries have allowed women to enter space?,Eleven other countries have allowed women astronauts.
Under What program is India planning to send humans into space?,The Indian HU Spaceflight Program.
How many space stations are currently in orbit?,The following space stations are currently maintained in Earth orbit for HU occupation 1 ISS US ES JAX CS and Russia assembled in orbit altitude 409 kilometers 221 nautical miles 51.
Who was the first woman to enter space?,The first woman to ever enter space was Valentina Tereshkova.
What was the first manned spacecraft to dock with the ISS?,On 22 April 2017 the Tianzhou 1 cargo spacecraft docked with the station Which was later deorbited in July 2019 burning up over the Pacific.
When did India begin work on the HU spaceflight program?,The ISRO began work on this project in 2006.
What was the first test of the AlAbid spacecraft?,According to a press release from the Iraqi News Agency dated 5 December 1989 there was only one test of the AlAbid space launcher Which Iraq intended to use to develop its own crewed space facilities by the end of the century.
What was the name of the USs reusable spacecraft?,The USSR copied the USs reusable Space Shuttle orbiter Which they called Buranclass orbiter or simply Buran Which was designed to be launched into orbit by the expendable Energia rocket and capable of robotic orbital flight and landing.
How many companies are developing spacecraft?,"Several of the companies including Blue Origin, SpaceX Virgin Galactic and Sierra Nevadahave plans to advance HU spaceflight."
How many countries have begun HU spaceflight programs?,Several other countries and space agencies have announced and begun HU spaceflight programs using natively developed equipment and technology including Japan JAX Iran IS and North Korea NAD.
How many astronauts did the USSR launch in 1963?,The USSR launched five more cosmonauts in Vostok capsules including the first woman in space Valentina Tereshkova aboard Vostok 6 on 16 June 1963.
When was the HOPEX project canceled?,The projects were canceled in 1992 when it became clear that neither cost nor performance goals could be achieved.
What was the first private HU spaceflight?,The first private HU spaceflight launch was a suborbital flight on SpaceShipOne on June 21 2004.
In What year did the US launch the Apollo program?,"1,966"
When did the first flight of the Buran take place?,A single uncrewed orbital test flight took place in November 1988.
Which company was involved in the Kankohmaru project?,Kawasaki Heavy Industries.
What organizations have been formed to make spaceflight more inclusive?,To make spaceflight more inclusive organizations such as the Justspace Alliance and IAUfeatured Inclusive Astronomy have been formed in recent years.
When was the first HU spaceflight?,HU spaceflight capability was first developed during the Cold War between the US and the Soviet Union USSR.
Who launched the Vostok 1 spacecraft?,The first HU in space was Yuri Gagarin Who flew the Vostok 1 spacecraft Which was launched by the Soviet Union on 12 April 1961 as part of the Vostok program.
How many commercial spacecraft are being developed by SpaceX?,SpaceX and Boeing are both developing passenger capable orbital space capsules as of 2020 with SpaceX carrying NAS astronauts to the ISS on board a Crew Dragon spacecraft on a Falcon 9 Block 5 launch vehicle.
When did John Glenn become the first American in space?,On 20 February 1962 John Glenn became the first American in orbit aboard Friendship CAM on a MercuryAtlas rocket.
Which countries developed the first HU spaceflight capability during the Cold War?,USSR.
How many private companies have been developing spacecraft?,Development funding for these orbital capable technologies has been provided by a mix of government and private funds with SpaceX providing a greater portion of total development funding for this HU carrying capability from private investment.
What year has Blue Origin tested its new Shepard?,2015-2019.
What year did the US launch two astronauts into orbit?,1963
How many flights did China carry for the ESA?,From 1983 to 1998 twentytwo Shuttle flights carried components for a ESA sortie space station called Spacelab in the Shuttle payload bay.
When was the first commercial orbital crew launch of SpaceX?,The first commercial orbital crew launch was by SpaceX in May 2020 transporting under government contract astronauts to the ISS.
What was the USs first project to launch men into orbit?,Project Mercury.
In What year did the ISS program be canceled?,2003
What are the main reasons why NASA and ESA use the term HU spaceflight?,NAS and ES use the term HU spaceflight to refer to their programs of launching people into space.
What was the name of the Russian Federation's space program?,The Soviet Soyuz and Mir programs were taken over by the Russian Federal Space Agency now known as the Roscosmos State Corporation.
What was the purpose of the Apollo program?,In 1969 Nixon appointed his vice president Spiro Agnew to HD a Space Task Group to recommend follow on HU spaceflight programs after Apollo.
When did the HU mission to Mars begin?,as early as 1986.
Who was the first US woman to enter space?,Sally Ride became the next woman to enter space and the first woman to enter space through the US program.
What Russian spacecraft was the first to be built?,Soyuz.
What program was taken over by the Russian Federal Space Agency?,"Mir ,Soyuz."
What was the first Chinese spacecraft to achieve independent HU spaceflight capability?,Shenzhou 5.
Which spacecraft is currently in development by Virgin?,Virgin Galactic.
When will India send humans into space?,2022
In What year did the ISS program lose funding?,1998
What was the goal of the Space Race?,Kennedy raised the stakes of the Space Race by setting the goal of landing a man on the Moon and returning him safely to Earth by the end of the 1960s.
Which spacecraft was launched by the Soviet Union on 12 April 1961?,Vostok 1.
How many people have a spacecraft that resembles the Russian Soyuz?,China later designed the Shenzhou spacecraft Which resembled the Russian Soyuz and became the third nation to achieve independent HU spaceflight capability by launching Yang Liwei on a 21hour flight aboard Shenzhou 5 on 15 October 2003.
Which company is developing the Orion spacecraft?,NAS.
What was the USs first mission to the Moon,Apollo.
Who took over the Soviet Soyuz and Mir programs?,the Russian Federal Space Agency.
What is the ISS?,the ISS.
What was the purpose of the Apollo 11 mission?,In July 1969 Apollo 11 accomplished Kennedy's goal by landing Neil Armstrong and Buzz Aldrin on the Moon on 21 July and returning them safely on 24 July along with Command Module pilot Michael Collins.
When will the space station be built?,2030
What was the purpose of the Apollo 13 mission?,The crew of Apollo 13Jim Lovell Jack Swigert and Fred Haisesurvived a catastrophic inflight spacecraft failure orbited the Moon without landing and returned safely to Earth.
What year has the JAXA developed the HII Transfer Vehicle cargo?,2008
How long have humans been on the ISS?,20 years.
Who developed the Kankohmaru vertical takeoff and landing system?,the Japanese Rocket Society.
When did the USSR launch two spacewalks?,They were able to launch two orbital flights in 1964 and 1965 and achieved the first spacewalk performed by Alexei Leonov on Voskhod II on 8 March 1965.
What was the purpose of the ApolloSoyuz program?,As part of this they negotiated the ApolloSoyuz program in Which an Apollo spacecraft carrying a special docking adapter module rendezvoused and docked with Soyuz 19 in 1975.
Who started China's own spaceflight program?,Mao.
In What year did the US begin the Apollo program of launching three man capsules on?,1962
Where did the Apollo 13 crew return safely to?,Earth.
When did SpaceShipOne take the prize?,SpaceShipOne captured the prize on 4 October 2004 when it accomplished two consecutive flights within one week.
In What year did XCOR Aerospace stop development of the Lynx?,2017
What is the definition of spaceflight?,Spacecraft can also be remotely operated from ground stations on Earth or autonomously without any direct HU involvement.
Which company is developing a commercial suborbital spacecraft aimed at space tourism?,Virgin Galactic.
When will Artemis 1 begin?,2021
Who developed the HII Transfer Vehicle?,the JAXA.
What is the plan for the Iranian crewed spacecraft?,The plans for the Iranian crewed spacecraft are for a small spacecraft and space laboratory.
What is the current definition of spaceflight?,These endeavors have also been referred to as manned space missions though because of gender specificity this is no longer official parlance according to NAS style guides.
When did Nixon appoint Spiro Agnew to HD the Space Task Group?,1969
How long did the crew stay in Tiangong?,30 days.
When did private spaceflight ventures begin?,the early 2000s.
When was the first attempt to fly the Shuguang spacecraft canceled?,13-05-1972.
Who flew the Vostok 1 spacecraft?,Yuri Gagarin.
How long does it take to return a crew to low Earth orbit?,3to7day.
Which countries have the most HU spaceflight programs?,the US.
When did the US launch the Skylab sortie space station?,1973
When was the Lynx first developed?,the 2000s.
How many days have humans been on the ISS?,122 days.
How long will Artemis 1 take to return to Earth?,25day.
When did the US launch the first satellites?,1958
How many successful uncrewed test flights has Blue Origin carried out in 2015?,11
What year was the first proposal for a system for space tourism?,2005
Which spacecraft is being developed by NASA?,Orion.
When was the Vostok 1 launched?,12-04-1961.
How long did the US Gemini flight take?,two weeks.
What was the first spacecraft to dock with Soyuz?,Apollo.
How many crews were on the Apollo mission?,three.
When was the first commercial orbital crew launch by SpaceX?,05-01-2020.
Which company has plans to advance HU spaceflight?,Blue Origin.
When did Apollo 11 land on the Moon?,07-01-1969.
When did Russia launch Sputnik 1?,1957
When did the Space Shuttle start flying?,1981
Who in Apollo 11 landed on the Moon?,Neil Armstrong.
When did the US send the Apollo 8 spacecraft to the Moon?,12-01-1968.
When was Tiangong1s successor launched?,09-01-2016.
When did SpaceShipTwo Flight VP03 launch?,13-12-2018.
What rocket was needed to send Apollo to the Moon?,Saturn.
In What year did President Bill Clinton secure Russian cooperation in converting the planned space station Freedom?,1993
Who survived the inflight failure of Apollo 13?,Apollo 13 Jim Lovell.
When did the Apollo missions land 12 men?,1972
Who is the 2020 Von Karman Award Recipient?,ISRO Chairman Dr K Sivan is named as 2020 Von Karman Award Recipient by IA.
When iso to launch its second mission to Mars?,Mars Orbiter Mission II also called Mangalyaan II is expected to launch in the year II0II4.
What is the purpose of the satellite?,It is India's earth observation satellite and is launched for applications in agriculture forestry and disaster management support.
Where will India's second spaceport be built,India's second Spaceport will be built in Thoothukudi Tamil Nadu.
When will the Lunar Polar Exploration Mission be launched?,the year 2024.
What is the launch vehicle for the CMS01?,CMS01 was successfully launched into a GTO from SDSC SHAR Sriharikota by PSLVC50CMS01 launch vehicle.
Where will India's second Spaceport be built?,Tamil Nadu.
Which space agency is expected to launch a SAR in 2022?,NAS.
Where will India's first HU spaceflight mission be located?,Karnataka.
How long will India's first HU spaceflight mission be established?,three years.
Where is the first HU space flight mission to land on?,Moon.
When is the first HU space flight mission to land on the moon?,the year 2021.
How long will the gaganyaan take to reach earth?,five to seven days.
When is Chandrayaan III expected to launch?,2021
When is the first solar mission in India expected to launch?,the year 2020.
When is Mars orbiter mission II expected to launch?,the year 2024.
What year did India and France issue a joint vision for space cooperation?,the year 2018.
What is the launch vehicle for the gsat 30?,The satellite is configured on ISROs enhanced I3K Bus structure to provide communication services from Geostationary orbit in C and Ku bands.
when did PSLVC44 successfully launched GSATR and KalamsatV?,On 25 January 2019 PSLVC44 successfully launched MicrosatR and KalamsatV2.
When did GSLV MkIIID2 successfully launch GSAT29 from France?,On 14 November 2018 GSLV MkIIID2 successfully launched GSAT29.
Where is the ISRO headquarter?,Its headquarter is in Bengaluru.
When did PSLVC4II successfully launch II foreign satellites on the moon?,On 16 September II018 PSLVC4II launched II foreign satellites.
When will the Chandrayaan2 Moon Mission be launched?,15-07-2019.
On What day is GSLVF05 launched?,08-09-2016.
When was the Communication satellite launched?,1982 Communication Satellite Insat1 was launched.
When is the launch of the GSAT11 scheduled?,25-04-2018.
How was the INCOSPAR formed?,The INCOSPAR was formed under the leadership of Vikram Sarabhai Who is also known as the father of India's Space program and physicist Kalpathi Ramakrishna Ramanathan.
In What country was the first experimental remote sensing satellite built?,India.
When was the PSLVC45 successfully launched?,01-04-2019.
Who conducted the first Indian space research in 1920?,S K Mitra.
What year was the ISRO formed?,1969
Where was the first ISRO formed?,Ahmedabad.
Which space observatory has successfully launched on-board a PSLVC30 rocket?,Astrosat.
When was the INCOSPAR formed?,1960
When was the Thumba Space Science and Technology Centre established?,01-01-1965.
When did PSLV carry out its first mission?,1993
When did GSLVD5 successfully launch?,05-01-2014.
When is the IRNSS launched?,28-04-2016.
Who is the first Indian cosmonaut to spend eight days in space?,Rakesh Sharma.
When was the first experimental remote sensing satellite launched in India?,1979
When does the PSLVC42 launch?,16-09-2018.
When did Indian space research begin?,the 1920s.
When was the ASLV launched?,1987
When did the PSLVC32 launch?,10-03-2016.
When will the next mission to Mars be launched?,The next Mars mission Mars Orbiter Mission II also called Mangalyaan II will be launched in II0II4.
What was the first Indian spacecraft to be launched in the 1960s?,"During this period, the first Indian spacecraft Aryabhata was developed and was launched using a Soviet Launcher."
What was the purpose of the INSAT satellites?,The IRS and INSAT satellites were primarily intended and used for civilian economic applications but they also offered military spinoffs.
When is the next mission to Mars to be launched?,The maiden flight is expected in 2021 from SDSC.
What was the first Indian satellite to be launched in the 1960s?,During this period the first Indian spacecraft Aryabhata was developed and was launched using a Soviet Launcher.
How did the IAF launch the GSAT7A?,"To boost the network centric operations of the IAF, ISRO launched GSAT7 on 19 December 2018."
What is the purpose of the GSLV MK III?,GSLV MK III is intended as a launch vehicle for crewed missions under the Indian HU Spaceflight Programme announced in Prime Minister Modi's 2018 Independence Day speech.
What was the first Indian satellite to be launched?,The first Indian spacecraft Aryabhata was developed and was launched using a Soviet Launcher.
What was the first successful launch of the SLV3?,the development of the first launch vehicle SLV3 with a capability to place 40 kg in LEO Which had its first successful flight in 1980.
What is the purpose of the PSLV?,"It was developed to allow India to launch its IRS satellites into sunsynchronous orbits, a service that was until the advent of the PSLV in 1993 commercially available only from Russia."
When was the test flight completed?,The test flight known as HEX was completed on 23 May 2016.
What was the first Xray astronomy group formed at TIFR?,"With these considerations ,an Xray astronomy group was formed at TIFR in 1967 and development of an instrument with an orientable X Ray telescope for hard X Ray observations was undertaken."
What is the purpose of the RLVTD?,"The RLVTD is acting as a flying testbed to evaluate various technologies such as hypersonic flight autonomous landing powered cruise flight and hypersonic flight using airbreathing propulsion ,The winged RLVTD has been configured to act as a flying testbed to evaluate various technologies namely hypersonic flight autonomous landing and powered cruise flight ."
What is the first in the series of demonstration trials?,First in the series of demonstration trials was the Hypersonic Flight Experiment HEX.
What was the purpose of the IAFs Airpower Doctrine?,"In 1997 ,the IAFs Airpower Doctrine aspired to use space assets for surveillance and battle management."
When is the XPoSat launched?,It is planned to have a mission life of five years and is planned to be launched in 2021.
What is the mission of the ISRO?,Its vision is to harness space technology for national development while pursuing space science research and planetary exploration.
What was the first flight of the X1 instrument?,In a succession of balloon flights made with this instrument between 1968 and 1974 .A number of binary X Ray sources including Cyg X1 and Her X1 and the diffuse cosmic X Ray background were studied.
What is the purpose of the INSAT mission?,The INSAT system provides services to telecommunications TV broadcasting satellite news gathering societal applications weather forecasting disaster warning and Search and Rescue operations.
What is the purpose of the Integrated Space Cell?,"Unlike an aerospace command ,where the air force controls most of its activities the Integrated Space Cell envisages cooperation and coordination between the three services as well as civilian agencies dealing with space."
What is the mission to Venus?,Mission to Venus is scheduled for 2025.
What are the main applications of the INSAT System?,The data from these satellites are used for several applications covering agriculture water resources urban planning RD mineral prospecting environment forestry ocean resources and disaster management.
What was the second mission to the Moon?,"Chandrayaan2 is the second mission to the Moon Which included an orbiter, a lander and a rover."
What is the purpose of the LAS?,The LAS is designed to quickly pull out the crew to safety in case of an emergency.
What was the first Indian space program to be launched in the 1960s?,The space research activities were initiated in India under Dr Vikram Sarabhai the founding father of the Indian space programme during the 1960s.
When is India's first manned space mission set to be launched?,2022
What was the most advanced SLV in the world?,ASLV ASLV.
What is the purpose of the GSLV?,"For this purpose GSLV MkIII is being developed with a cryogenic engine ,GSLV delivers the communication satellites to the GTO of about 36000 km altitude ,ISRO has already tested the GSLV MkIII with experimental crew module Reentry Recovery technology and CES CES."
What is the requirement of a global navigation system?,The requirement of such a navigation system is driven by the fact that access to global navigation systems like GPS is not guaranteed in hostile situations.
What was the first Indian satellite to be used for military purposes?,In its early years when headed by Vikram Sarabhai and Satish Dhawan ISRO opposed military applications for its dual use projects such as the SLV3.
What is the mission of the Indian Space Agency?,Its vision is to harness space technology for national development while pursuing space science research and planetary exploration .
What are the achievements of the Indian Space Agency?,The development and operationalisation of the PSLV and the development of the Geosynchronous SLV GSLV were significant achievements during this phase.
What is the mission of the INSAT?,Achievements Communication Satellites Established in 1983 with the commissioning of 1B. the INSAT INSAT system is one of the largest domestic communication satellite systems in AsiaPacific region with nine operational communication satellites placed in Geostationary orbit.
What is the next mission to Mars?,Mars Orbiter Mission 2.
What are the main applications of the Indian Space Program?,"Telecommunication India uses its satellite communication network, one of the largest in the world for applications such as land management, water resources management, natural disaster forecasting, radio networking weather forecasting meteorological imaging and computer communication."
What planets will the company be able to launch probes to?,Mars.
What is the Indian SpaceÂ Research Organisation?,"ISRO is the space agency under the DS of Government of India headquartered in the city of Bengaluru, Karnataka."
When will Mars Orbiter Mission II be launched?,2024
What is the purpose of the RISAT series of radar imaging earth observation satellites?,The RISAT series of radar imaging earth observation satellites is also meant for Military use.
What bus would be used to build the constellation?,the I1K.
When will the LUPEX mission be launched?,2024
Which fuel is used to power the Scramjet engine?,Hydrogen.
What is the main objective of the orbiter mission?,This orbiter mission will facilitate the community to address several open science problems.
What are the main activities of the Indian Institute of Space?,Academic Satellites ISRO has influenced educational institutions by its activities like making satellites for communication remote sensing and astronomy.
What are the applications of the Indian Space Program?,Resource management The IRS satellites have found applications with the Indian Natural Resource Management program with Regional Remote Sensing Service Centres in five Indian cities and with Remote Sensing Application Centres in twenty Indian states that use IRS images for economic development applications.
What is the purpose of the Indian Spaceflight Programme?,"Sivan has said that India will not join the ISS programme and will instead build a 20tonne space station on its own ,Space station India plans to build a space station as a followup programme of the Gaganyaan mission."
What was the first successful launch of the SLV?,The first launch of the SLV took place in Sriharikota on 10 August 1979.
What year did China test an antisatellite missile?,2007
Who operates the GSLV?,the ISRO.
When could the orbiter launch?,as early as 2023.
What band is the Scatterometer?,Kuband.
When did India start its own SLV?,The first successful launch took place on 18 July 1980.
When is the mission to Venus scheduled?,2025
What year did the Mars Orbiter mission receive the Space Pioneer Award?,2015
In What region is INSAT the largest domestic communication system?,the AsiaPacific Region.
Where will the Indian HU Spaceflight campaign take place?,SDSC.
What are the main activities of the ISRO?,Capable Universities and institutions can venture into space technology inorbit with guidance and support from ISRO byways of Development of Payload and Design Fabrication of Satellite.
What was the first mission to the Moon?,Extraterrestrial exploration Chandrayaan1 was India's first mission to the Moon.
What region is the largest domestic communication satellite system?,AsiaPacific.
What region is GSAT7 used to monitor?,the Indian Ocean Region.
How many days would it take to send III Indians to space?,at least seven days.
What is the first interplanetary mission launched by PSLV?,Mars Orbiter Mission.
What was the first launch vehicle with the capability to place 40 kg in LEO?,SLV3.
What year did ISRO launch GSAT7?,2013
In What year has Indian budget been allocated to perform preliminary studies?,2018
Where is RISAT1 launched?,Sriharikota Spaceport.
How long did the mission take to reach the moon?,The lunar orbiter was efficiently positioned in an optimal lunar orbit extending its expected service time from one year to seven years.
What is the role of ISRO in the Indian Space Agency?,Space Technology Achievements of Indians in Science Technology About the Organisation unk ISRO is the space agency under the DS of Government of India headquartered in the city of Bengaluru Karnataka.
How far from the lunar surface is the PSLVC11?,100 km.
How many nautical miles does GSAT7 cover?,2000 nautical mile.
When is Chandrayaan II planned to launch?,2019
When did ISRO plan to launch the constellation of satellites?,between 2012 and 2014.
